canonical_name,canonical_address,overlay_space,overlay_offset_hex,overlay_name,match_kind
FUN_12d6_0000,12d6:0000,ram,2d60,FUN_0000_2d60,exact
FUN_12d8_000e,12d8:000e,ram,2d8e,FUN_0000_2d8e,exact
FUN_12dd_0002,12dd:0002,ram,2dd2,FUN_0000_2dd2,exact
FUN_12dd_0064,12dd:0064,ram,2e34,,gap
FUN_12e9_0006,12e9:0006,ram,2e96,FUN_0000_2e96,exact
FUN_12e9_008c,12e9:008c,ram,2f1c,FUN_0000_2f1c,exact
FUN_12fd_000e,12fd:000e,ram,2fde,FUN_0000_2fde,exact
FUN_12fd_0048,12fd:0048,ram,3018,FUN_0000_3018,exact
FUN_12fd_006c,12fd:006c,ram,303c,FUN_0000_303c,exact
FUN_130d_000a,130d:000a,ram,30da,FUN_0000_30da,exact
FUN_130d_0172,130d:0172,ram,3242,FUN_0000_3242,exact
FUN_130d_019e,130d:019e,ram,326e,FUN_0000_326e,exact
FUN_130d_0222,130d:0222,ram,32f2,FUN_0000_32f2,exact
FUN_130d_0290,130d:0290,ram,3360,,gap
FUN_137f_000a,137f:000a,ram,37fa,FUN_0000_37fa,exact
FUN_137f_003c,137f:003c,ram,382c,FUN_0000_382c,exact
FUN_137f_00c0,137f:00c0,ram,38b0,FUN_0000_38b0,exact
FUN_137f_00f6,137f:00f6,ram,38e6,FUN_0000_38e6,exact
FUN_137f_010e,137f:010e,ram,38fe,FUN_0000_38fe,exact
FUN_137f_012a,137f:012a,ram,391a,FUN_0000_391a,exact
FUN_137f_0142,137f:0142,ram,3932,FUN_0000_3932,exact
FUN_137f_015e,137f:015e,ram,394e,FUN_0000_394e,exact
FUN_137f_0194,137f:0194,ram,3984,FUN_0000_3984,exact
FUN_137f_01ac,137f:01ac,ram,399c,FUN_0000_399c,exact
FUN_137f_01ca,137f:01ca,ram,39ba,FUN_0000_39ba,exact
FUN_137f_01dc,137f:01dc,ram,39cc,,gap
FUN_137f_0200,137f:0200,ram,39f0,FUN_0000_39f0,exact
FUN_137f_0228,137f:0228,ram,3a18,FUN_0000_3a18,exact
FUN_137f_02a0,137f:02a0,ram,3a90,FUN_0000_3a90,exact
FUN_137f_02e0,137f:02e0,ram,3ad0,FUN_0000_3ad0,exact
FUN_137f_02f8,137f:02f8,ram,3ae8,FUN_0000_3ae8,exact
FUN_137f_0314,137f:0314,ram,3b04,FUN_0000_3b04,exact
FUN_137f_0358,137f:0358,ram,3b48,FUN_0000_3b48,exact
FUN_137f_0392,137f:0392,ram,3b82,FUN_0000_3b82,exact
FUN_137f_03e4,137f:03e4,ram,3bd4,FUN_0000_3bd4,exact
FUN_137f_0428,137f:0428,ram,3c18,FUN_0000_3c18,exact
FUN_137f_044a,137f:044a,ram,3c3a,,gap
FUN_137f_04b0,137f:04b0,ram,3ca0,FUN_0000_3ca0,exact
FUN_137f_0598,137f:0598,ram,3d88,FUN_0000_3d88,exact
FUN_137f_0614,137f:0614,ram,3e04,FUN_0000_3e04,exact
FUN_13e4_000e,13e4:000e,ram,3e4e,FUN_0000_3e4e,exact
FUN_13e4_003a,13e4:003a,ram,3e7a,FUN_0000_3e7a,exact
FUN_13e4_0074,13e4:0074,ram,3eb4,FUN_0000_3eb4,exact
